Got expression data for 200, mutations for 196, both for 196
Valid patients: 1408 mutations, expression data for 19990 proteins
           NPM1:         C2orf65     3.08 +/-     2.34  -->      0.95 +/-     0.98, n=48, p=0.000000
           NPM1:          TMIGD2    10.84 +/-    10.14  -->      1.28 +/-     1.92, n=48, p=0.000000
       FLT3-ITD:          FAM47E     0.27 +/-     0.84  -->      2.59 +/-     2.95, n=37, p=0.000000
           NPM1:           HOXA2     0.98 +/-     1.41  -->      3.84 +/-     2.70, n=48, p=0.000000
           NPM1:            NCR2     0.16 +/-     0.90  -->      7.38 +/-    21.50, n=48, p=0.000000
  NPM1+FLT3-ITD:           FGF10     0.30 +/-     1.34  -->      5.67 +/-     6.54, n=19, p=0.000000
           NPM1:          TSPAN7    12.69 +/-    17.03  -->      0.42 +/-     0.59, n=48, p=0.000000
           NPM1:           PDGFD     1.66 +/-     2.25  -->      5.55 +/-     3.54, n=48, p=0.000000
           NPM1:           BAALC    38.12 +/-    55.23  -->      1.46 +/-     1.91, n=48, p=0.000000
           NPM1:          DLGAP2     0.54 +/-     1.36  -->      0.01 +/-     0.02, n=48, p=0.000000
           NPM1:           NPTX1     0.16 +/-     0.41  -->      2.03 +/-     5.39, n=48, p=0.000000
           NPM1:          CT45A5     0.51 +/-     2.82  -->      3.32 +/-     5.88, n=48, p=0.000000
           NPM1:          POU6F1     3.07 +/-     1.71  -->      1.22 +/-     0.95, n=48, p=0.000000
           NPM1:            GYPC    38.46 +/-    25.82  -->     11.74 +/-    11.55, n=48, p=0.000000
           NPM1:         RPS6KA2     5.75 +/-     5.67  -->      1.05 +/-     0.93, n=48, p=0.000000
           NPM1:        C22orf26     1.23 +/-     0.92  -->      2.90 +/-     1.36, n=48, p=0.000000
           NPM1:           CDCA7    45.16 +/-    24.61  -->     16.18 +/-    13.39, n=48, p=0.000000
           NPM1:            NRP1     1.98 +/-     3.13  -->      0.23 +/-     0.59, n=48, p=0.000000
           NPM1:        MAP1LC3A     1.97 +/-     2.96  -->      5.35 +/-     6.36, n=48, p=0.000000
           NPM1:          MAN1A1    60.11 +/-    57.78  -->     15.60 +/-    10.32, n=48, p=0.000000
           NPM1:    LOC100133669     0.47 +/-     0.57  -->      0.07 +/-     0.13, n=48, p=0.000000
       FLT3-ITD:          TRIM16     1.48 +/-     2.07  -->      5.06 +/-     4.12, n=37, p=0.000000
           NPM1:       LOC441204     1.06 +/-     1.23  -->      3.08 +/-     1.70, n=48, p=0.000000
           NPM1:           CD200    23.46 +/-    20.13  -->      4.57 +/-     8.77, n=48, p=0.000000
           NPM1:         SLC10A2     2.24 +/-    16.21  -->      1.09 +/-     4.33, n=48, p=0.000000
           NPM1:             APP    60.18 +/-    52.88  -->      9.47 +/-    21.78, n=48, p=0.000000
           NPM1:           PHKA2    17.47 +/-     4.62  -->     28.24 +/-    10.71, n=48, p=0.000000
           NPM1:             LY9     7.49 +/-     5.41  -->      2.63 +/-     2.45, n=48, p=0.000000
           NPM1:        PPARGC1A     0.61 +/-     1.85  -->      2.27 +/-     2.30, n=48, p=0.000000
           NPM1:           FGF10     0.08 +/-     0.60  -->      3.00 +/-     5.08, n=48, p=0.000000
           NPM1:         FAM134B     3.57 +/-     3.56  -->      0.79 +/-     1.10, n=48, p=0.000001
           NPM1:           MLLT3     6.64 +/-     7.15  -->      1.69 +/-     3.48, n=48, p=0.000001
           NPM1:        PPP1R14A     1.93 +/-     3.63  -->      0.11 +/-     0.16, n=48, p=0.000001
           NPM1:           HOXA1     0.66 +/-     0.63  -->      1.86 +/-     1.02, n=48, p=0.000001
           NPM1:           CPNE8     7.65 +/-     7.71  -->     18.24 +/-     5.80, n=48, p=0.000001
           NPM1:           ITM2C   139.88 +/-   102.50  -->     48.00 +/-    50.75, n=48, p=0.000001
           NPM1:           FGFR1     8.81 +/-    11.40  -->      1.09 +/-     0.82, n=48, p=0.000001
           NPM1:          SH3RF1     6.75 +/-     4.08  -->      3.42 +/-     1.37, n=48, p=0.000001
           NPM1:            NAV1     5.55 +/-     5.69  -->      1.35 +/-     1.99, n=48, p=0.000001
           NPM1:         CCDC74A     0.28 +/-     0.73  -->      0.96 +/-     0.96, n=48, p=0.000001
           NPM1:          DUSP27     2.31 +/-     3.06  -->      0.21 +/-     0.72, n=48, p=0.000001
           NPM1:           SMAGP     3.73 +/-     2.91  -->      1.40 +/-     0.59, n=48, p=0.000001
           KRAS:          OR10A6     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 7, p=0.000002
          SMC1A:        C21orf54     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 7, p=0.000002
      FLT3+NPM1:        C21orf54     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 7, p=0.000002
           NPM1:        ADAMTS10     7.28 +/-     8.23  -->      1.39 +/-     1.84, n=48, p=0.000002
           NPM1:             NOG     8.57 +/-    10.49  -->      1.50 +/-     2.76, n=48, p=0.000002
           NPM1:            CD34   143.11 +/-   160.26  -->     18.57 +/-    55.20, n=48, p=0.000002
           NPM1:            GNG2    18.09 +/-    10.16  -->      7.31 +/-     7.62, n=48, p=0.000002
           NPM1:           HOXB1     0.02 +/-     0.07  -->      0.14 +/-     0.23, n=48, p=0.000002
           NPM1:         HSD17B4    37.95 +/-    13.75  -->     57.66 +/-    21.82, n=48, p=0.000003
           NPM1:             HGF    48.19 +/-    82.47  -->      5.54 +/-     5.16, n=48, p=0.000004
           NPM1:       LOC201651     0.11 +/-     0.31  -->      1.22 +/-     3.27, n=48, p=0.000004
           NPM1:            HES4     0.37 +/-     0.66  -->      2.94 +/-     9.09, n=48, p=0.000004
           NPM1:           SORL1    72.05 +/-    40.72  -->     31.82 +/-    16.44, n=48, p=0.000005
           NPM1:          KIRREL     1.35 +/-     1.99  -->      0.12 +/-     0.30, n=48, p=0.000005
           NPM1:            DDI1     0.20 +/-     0.29  -->      0.57 +/-     0.44, n=48, p=0.000005
           NPM1:          SFMBT2     7.39 +/-     4.56  -->      3.04 +/-     2.35, n=48, p=0.000006
           NPM1:          ZNF595     4.49 +/-     4.50  -->      0.89 +/-     1.29, n=48, p=0.000007
    DNMT3A+NPM1:           WNT7B     0.24 +/-     0.72  -->      1.59 +/-     1.75, n=23, p=0.000008
           NPM1:            SDK2     6.47 +/-    10.50  -->      0.30 +/-     0.34, n=48, p=0.000008
           NPM1:         C1orf59    21.64 +/-    12.72  -->      9.55 +/-     5.38, n=48, p=0.000008
           NPM1:           PDE3B    13.94 +/-     8.01  -->      6.46 +/-     3.77, n=48, p=0.000009
           NPM1:            TSLP     0.26 +/-     0.49  -->      1.19 +/-     1.71, n=48, p=0.000009
           NPM1:          ORMDL2    11.65 +/-     2.83  -->     15.54 +/-     3.40, n=48, p=0.000009
           NPM1:           C2CD2     8.39 +/-     4.53  -->      4.18 +/-     1.93, n=48, p=0.000009
           NPM1:        ARHGEF10     1.52 +/-     2.08  -->      0.31 +/-     0.35, n=48, p=0.000011
           NPM1:            DLG2     0.10 +/-     0.11  -->      0.04 +/-     0.05, n=48, p=0.000011
           TP53:          TMEM8C     0.00 +/-     0.01  -->      0.03 +/-     0.06, n=14, p=0.000013
         MT-CYB:           LYZL1     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.000014
           NPM1:          HOXA13     0.05 +/-     0.26  -->      0.89 +/-     2.44, n=48, p=0.000014
           NPM1:          FCHSD2    37.27 +/-    12.39  -->     25.71 +/-     5.51, n=48, p=0.000015
           NPM1:            ANKH     7.69 +/-     3.27  -->      4.22 +/-     1.88, n=48, p=0.000015
           NPM1:           DHRS3     6.29 +/-     6.72  -->      1.30 +/-     1.31, n=48, p=0.000015
           NPM1:           ITGB4     1.46 +/-     2.73  -->      0.33 +/-     0.40, n=48, p=0.000016
           NPM1:          NKAIN4     0.10 +/-     1.00  -->      0.06 +/-     0.19, n=48, p=0.000018
           NPM1:           CREG1   102.20 +/-    34.68  -->    147.17 +/-    36.39, n=48, p=0.000022
           NPM1:           FARP1     1.07 +/-     1.62  -->      0.25 +/-     0.20, n=48, p=0.000022
           NPM1:        C6orf145     0.97 +/-     1.28  -->      0.18 +/-     0.19, n=48, p=0.000022
           NPM1:           LRRC2     0.34 +/-     0.54  -->      0.06 +/-     0.11, n=48, p=0.000023
           NPM1:            CNN2    83.96 +/-    35.57  -->     46.32 +/-    23.48, n=48, p=0.000024
           NPM1:          SEC16B     1.17 +/-     1.04  -->      2.51 +/-     1.18, n=48, p=0.000025
           NPM1:        MGC16121     2.39 +/-     3.84  -->      0.31 +/-     1.35, n=48, p=0.000027
           NPM1:         CYP46A1     0.84 +/-     1.85  -->      0.04 +/-     0.05, n=48, p=0.000027
           NPM1:        TP53INP2     9.38 +/-    20.11  -->     39.04 +/-    53.13, n=48, p=0.000028
       FLT3-ITD:         CYSLTR2     2.76 +/-     3.55  -->     11.85 +/-    12.02, n=37, p=0.000029
           NPM1:           STAC3    10.80 +/-     6.52  -->     20.40 +/-     8.50, n=48, p=0.000029
           NPM1:           UGGT2     1.07 +/-     1.71  -->      3.82 +/-     2.31, n=48, p=0.000030
           NPM1:           CCL23     6.21 +/-    16.70  -->     19.29 +/-    24.09, n=48, p=0.000031
           NPM1:          HOMER2     5.08 +/-     5.24  -->      1.15 +/-     1.15, n=48, p=0.000031
           NPM1:          RAD23B    35.38 +/-     9.29  -->     25.23 +/-     6.83, n=48, p=0.000034
           NPM1:           P4HA1    17.19 +/-     5.96  -->     24.33 +/-     6.84, n=48, p=0.000036
           NPM1:            CUX2     0.79 +/-     1.37  -->      0.05 +/-     0.08, n=48, p=0.000036
  NPM1+FLT3-ITD:         SLCO1B3     0.01 +/-     0.05  -->      0.14 +/-     0.29, n=19, p=0.000039
           NPM1:          LYSMD4     5.59 +/-     1.99  -->      3.52 +/-     1.04, n=48, p=0.000045
           NPM1:            MAFA     0.03 +/-     0.05  -->      0.18 +/-     0.24, n=48, p=0.000046
           NPM1:        PRICKLE1     3.50 +/-     4.20  -->      8.12 +/-     4.88, n=48, p=0.000048
       FLT3-ITD:         SLC17A2     0.02 +/-     0.13  -->      1.66 +/-     6.06, n=37, p=0.000049
    DNMT3A+NPM1:           LMX1B     0.15 +/-     0.74  -->      0.86 +/-     1.37, n=23, p=0.000049
           NPM1:           SNX10    17.40 +/-    14.87  -->     33.66 +/-    15.92, n=48, p=0.000050
           NPM1:            NRG4     4.97 +/-     6.73  -->     10.43 +/-     5.13, n=48, p=0.000050
           NPM1:         RAB3IL1     2.10 +/-     2.70  -->      0.46 +/-     0.76, n=48, p=0.000053
           NPM1:         PLA2G4A     7.81 +/-     4.78  -->     14.96 +/-     6.49, n=48, p=0.000055
           NPM1:         C3orf65     2.81 +/-     1.80  -->      6.22 +/-     3.54, n=48, p=0.000056
    DNMT3A+NPM1:          CT45A5     0.95 +/-     3.59  -->      3.44 +/-     6.12, n=23, p=0.000056
           NPM1:          TMEM65     7.88 +/-     4.91  -->     16.45 +/-    11.70, n=48, p=0.000058
       FLT3-ITD:          S100A1     3.33 +/-     3.62  -->      9.21 +/-     8.33, n=37, p=0.000061
           NPM1:         FAM159A     3.18 +/-     2.82  -->      1.06 +/-     1.33, n=48, p=0.000062
           NPM1:         IGF2BP2    32.54 +/-    15.76  -->     53.53 +/-    17.77, n=48, p=0.000064
           NPM1:             CAT   259.03 +/-   195.06  -->    497.02 +/-   252.36, n=48, p=0.000065
           NPM1:         CACNA1C     0.81 +/-     0.90  -->      0.21 +/-     0.17, n=48, p=0.000068
           NPM1:           USP40     6.36 +/-     2.29  -->      9.46 +/-     2.65, n=48, p=0.000071
           NPM1:        MARVELD2     0.39 +/-     0.56  -->      1.33 +/-     1.13, n=48, p=0.000073
            TTN:       C14orf177     0.00 +/-     0.00  -->      0.02 +/-     0.03, n= 6, p=0.000074
           NPM1:            HRH3     0.04 +/-     0.06  -->      0.15 +/-     0.15, n=48, p=0.000085
           NPM1:          DLGAP3     1.34 +/-     2.49  -->      0.32 +/-     0.72, n=48, p=0.000096
           NPM1:            MPP7     3.45 +/-     3.32  -->      8.01 +/-     5.56, n=48, p=0.000096
           NPM1:             BID    19.86 +/-     4.87  -->     27.11 +/-     6.95, n=48, p=0.000098
           NPM1:          ABHD11     3.61 +/-     2.36  -->      5.94 +/-     2.75, n=48, p=0.000107
           NPM1:            CPS1     0.32 +/-     0.86  -->      0.02 +/-     0.03, n=48, p=0.000110
           NPM1:            MEST    59.36 +/-    62.55  -->     14.54 +/-    17.51, n=48, p=0.000114
           NPM1:      SNORD116-4     5.96 +/-     4.66  -->      1.80 +/-     2.28, n=48, p=0.000114
           NPM1:     SNORD116-28     3.08 +/-     2.39  -->      0.94 +/-     1.23, n=48, p=0.000133
           NPM1:           PRRT4     8.24 +/-    13.36  -->      1.14 +/-     1.74, n=48, p=0.000139
           NPM1:             IPW     4.51 +/-     3.47  -->      1.42 +/-     1.78, n=48, p=0.000140
           NPM1:           CCND2    66.82 +/-    48.72  -->     29.00 +/-    21.08, n=48, p=0.000145
           NPM1:        SLC38A10    29.94 +/-    11.25  -->     43.48 +/-    12.44, n=48, p=0.000148
           NPM1:           CMTM8     1.69 +/-     2.15  -->      0.44 +/-     0.57, n=48, p=0.000153
           NPM1:          ZNF721     8.42 +/-     3.88  -->      4.25 +/-     3.08, n=48, p=0.000154
    DNMT3A+NPM1:           HOXB4    10.56 +/-    14.36  -->     35.21 +/-    11.74, n=23, p=0.000158
           NPM1:       C20orf200     1.32 +/-     4.08  -->      5.95 +/-     7.51, n=48, p=0.000167
           NPM1:           RADIL     0.71 +/-     0.56  -->      0.30 +/-     0.17, n=48, p=0.000174
           NPM1:        C12orf75    15.69 +/-    12.29  -->      6.01 +/-     6.61, n=48, p=0.000183
           NPM1:         C18orf1     6.40 +/-     4.92  -->      2.24 +/-     1.56, n=48, p=0.000191
       FLT3-ITD:           CDRT1     0.07 +/-     0.23  -->      0.34 +/-     0.46, n=37, p=0.000191
           NPM1:             REN     0.07 +/-     0.41  -->      0.57 +/-     1.12, n=48, p=0.000193
           NPM1:        SERPINF1    17.76 +/-    24.49  -->      4.37 +/-     2.28, n=48, p=0.000206
           NPM1:          SHANK3    22.69 +/-    27.76  -->      4.48 +/-     6.53, n=48, p=0.000236
           NPM1:          UBXN2B    11.82 +/-     4.27  -->     16.37 +/-     4.63, n=48, p=0.000241
           NPM1:       LOC400931     1.35 +/-     1.78  -->      3.65 +/-     3.22, n=48, p=0.000246
           NPM1:          EEF1A2     0.97 +/-     5.72  -->      3.07 +/-     7.95, n=48, p=0.000261
           NPM1:           SIDT1     4.28 +/-     2.91  -->      1.89 +/-     1.82, n=48, p=0.000268
           NPM1:         C1orf21     3.71 +/-     3.09  -->      1.16 +/-     1.68, n=48, p=0.000277
           NPM1:         ST8SIA6     6.33 +/-     9.07  -->     18.49 +/-    16.43, n=48, p=0.000286
           NPM1:             JUP    64.37 +/-    46.57  -->     24.03 +/-    22.97, n=48, p=0.000292
           TP53:         B3GALT5     0.00 +/-     0.03  -->      0.38 +/-     0.93, n=14, p=0.000293
    DNMT3A+NPM1:           HOXB2     8.56 +/-    10.13  -->     26.73 +/-    11.73, n=23, p=0.000300
           NPM1:           KIF3B     6.25 +/-     1.49  -->      8.05 +/-     1.95, n=48, p=0.000304
           NPM1:       SNORD109A     1.90 +/-     1.72  -->      0.44 +/-     0.72, n=48, p=0.000307
           NPM1:            ESAM     7.64 +/-     8.84  -->      1.85 +/-     2.58, n=48, p=0.000308
           NPM1:          CT45A4     0.01 +/-     0.05  -->      0.08 +/-     0.15, n=48, p=0.000324
           NPM1:             ACR     0.56 +/-     0.73  -->      0.09 +/-     0.13, n=48, p=0.000352
           NPM1:           TRIB2     5.06 +/-     6.75  -->      1.63 +/-     2.02, n=48, p=0.000364
           NPM1:           SAGE1     0.49 +/-     2.46  -->      3.27 +/-     5.03, n=48, p=0.000364
  NPM1+FLT3-ITD:             REN     0.09 +/-     0.40  -->      1.22 +/-     1.50, n=19, p=0.000381
           NPM1:         SLC24A5     0.74 +/-     1.02  -->      0.11 +/-     0.27, n=48, p=0.000382
           NPM1:          PLXND1    66.11 +/-    25.79  -->     38.89 +/-    19.58, n=48, p=0.000383
           NPM1:         FAM131A     2.03 +/-     0.84  -->      2.94 +/-     0.72, n=48, p=0.000392
           NPM1:            MREG     2.22 +/-     2.37  -->      0.53 +/-     0.61, n=48, p=0.000392
    DNMT3A+NPM1:           FGF10     0.59 +/-     2.85  -->      2.82 +/-     3.25, n=23, p=0.000406
           NPM1:           MEF2A    26.98 +/-    12.08  -->     15.74 +/-     6.09, n=48, p=0.000417
    DNMT3A+NPM1:           HOXB6     3.25 +/-     5.79  -->     14.20 +/-     8.87, n=23, p=0.000417
           NPM1:          CT45A2     0.02 +/-     0.13  -->      0.10 +/-     0.17, n=48, p=0.000449
           NPM1:             AXL     0.99 +/-     1.25  -->      0.23 +/-     0.32, n=48, p=0.000463
  NPM1+FLT3-ITD:          FAM47E     0.44 +/-     1.14  -->      3.41 +/-     3.43, n=19, p=0.000469
           NPM1:           FMNL3     6.85 +/-     4.64  -->      3.23 +/-     1.65, n=48, p=0.000473
           NPM1:         SLCO5A1     2.29 +/-     3.67  -->      0.11 +/-     0.25, n=48, p=0.000473
           NPM1:         ABCA11P     3.47 +/-     1.84  -->      1.56 +/-     1.55, n=48, p=0.000482
           NPM1:         C8orf56     1.03 +/-     1.28  -->      0.10 +/-     0.15, n=48, p=0.000495
           NPM1:           STK24    23.10 +/-     8.19  -->     15.70 +/-     5.36, n=48, p=0.000514
           TP53:          ZNF560     0.09 +/-     0.42  -->      3.03 +/-     2.67, n=14, p=0.000521
           NPM1:           SCN1B     1.63 +/-     2.42  -->      0.45 +/-     0.43, n=48, p=0.000524
       FLT3-ITD:          FAM64A     2.06 +/-     2.21  -->      0.49 +/-     0.78, n=37, p=0.000537
           NPM1:           PCBD1    18.79 +/-     9.75  -->     29.77 +/-    12.20, n=48, p=0.000570
           NPM1:           SPRY1     9.79 +/-    11.57  -->      2.65 +/-     4.98, n=48, p=0.000582
           NPM1:           USP13     4.21 +/-     2.06  -->      2.42 +/-     0.99, n=48, p=0.000645
           NPM1:            EMR1    10.79 +/-    15.07  -->     29.00 +/-    26.12, n=48, p=0.000658
           NPM1:           PAQR8     6.15 +/-     3.70  -->     11.59 +/-     6.09, n=48, p=0.000672
    DNMT3A+NPM1:           LRRC2     0.30 +/-     0.51  -->      0.02 +/-     0.02, n=23, p=0.000691
    DNMT3A+NPM1:           HOXB3    17.63 +/-    26.18  -->     61.15 +/-    22.92, n=23, p=0.000705
           NPM1:            KRT1     1.07 +/-     2.16  -->      0.20 +/-     0.57, n=48, p=0.000715
    FLT3+DNMT3A:           LCE1B     0.00 +/-     0.01  -->      0.01 +/-     0.01, n= 6, p=0.000724
    DNMT3A+NPM1:           HOXB5     3.64 +/-     5.74  -->     16.33 +/-    13.51, n=23, p=0.000746
           NPM1:          SLC2A4     0.61 +/-     0.74  -->      0.17 +/-     0.34, n=48, p=0.000760
           NPM1:          TBXAS1    39.73 +/-    21.17  -->     68.93 +/-    30.50, n=48, p=0.000776
    DNMT3A+NPM1:            PBX3    24.67 +/-    26.81  -->     65.64 +/-    20.43, n=23, p=0.000829
           NPM1:           EFNB1     4.83 +/-     3.75  -->      1.97 +/-     1.37, n=48, p=0.000843
          RUNX1:          OPALIN     0.48 +/-     1.38  -->     10.20 +/-    10.74, n=16, p=0.000871
           TP53:         GALNT13     0.02 +/-     0.21  -->      0.06 +/-     0.10, n=14, p=0.000933
           NPM1:         EPB41L1     0.20 +/-     0.26  -->      0.06 +/-     0.08, n=48, p=0.000934
           NPM1:           MYEF2     2.92 +/-     3.81  -->      0.47 +/-     1.12, n=48, p=0.000973
           NPM1:           AKAP2    19.68 +/-    12.11  -->      8.47 +/-     5.95, n=48, p=0.000993
           NPM1:     PALM2-AKAP2    15.81 +/-     9.72  -->      6.81 +/-     4.78, n=48, p=0.000993
           NPM1:            TLX1     0.02 +/-     0.20  -->      0.03 +/-     0.08, n=48, p=0.001016
           NPM1:           SNURF    30.51 +/-    18.03  -->     12.85 +/-    12.82, n=48, p=0.001034
           NPM1:            FLT4     3.40 +/-     7.76  -->      0.32 +/-     0.46, n=48, p=0.001045
           NPM1:          ENDOD1     7.35 +/-     5.28  -->      3.16 +/-     1.97, n=48, p=0.001055
          RUNX1:          SETBP1     1.51 +/-     4.15  -->     12.06 +/-     8.53, n=16, p=0.001072
          RUNX1:          PPP3CC    12.02 +/-     4.12  -->     22.36 +/-     4.67, n=16, p=0.001072
           NPM1:          ZNF626     2.26 +/-     2.38  -->      0.56 +/-     0.81, n=48, p=0.001077
           NPM1:          CHMP1B    43.74 +/-     9.77  -->     56.04 +/-    13.67, n=48, p=0.001077
           NPM1:    LOC100188949     6.10 +/-     6.17  -->      1.77 +/-     1.10, n=48, p=0.001077
           NPM1:           AIFM2     1.10 +/-     0.79  -->      2.21 +/-     1.23, n=48, p=0.001099
           NPM1:          STK32B     7.82 +/-     9.01  -->      1.96 +/-     1.98, n=48, p=0.001099
  NPM1+FLT3-ITD:           WNT7B     0.30 +/-     0.91  -->      1.38 +/-     1.39, n=19, p=0.001124
           NPM1:           PTGFR     0.23 +/-     0.83  -->      2.01 +/-     5.90, n=48, p=0.001145
           NPM1:           EIF1B    41.01 +/-    11.45  -->     66.79 +/-    37.01, n=48, p=0.001145
    DNMT3A+NPM1:          POU6F1     2.81 +/-     1.73  -->      0.90 +/-     0.53, n=23, p=0.001178
           NPM1:         C6orf47     7.81 +/-     1.88  -->     10.12 +/-     2.49, n=48, p=0.001193
           NPM1:          ATP10A     7.82 +/-     7.43  -->      2.02 +/-     3.23, n=48, p=0.001242
           NPM1:            IQCE     2.87 +/-     1.46  -->      4.40 +/-     1.27, n=48, p=0.001242
           NPM1:            PAR1     0.23 +/-     0.22  -->      0.06 +/-     0.14, n=48, p=0.001257
           NPM1:          SYNGR1    19.28 +/-    10.53  -->     10.15 +/-     4.80, n=48, p=0.001293
           NPM1:           DMXL2    22.02 +/-    20.63  -->     50.92 +/-    33.03, n=48, p=0.001320
           NPM1:           PMP22     3.57 +/-     6.89  -->      0.80 +/-     1.88, n=48, p=0.001460
           NPM1:          CLSTN1    40.45 +/-    14.99  -->     26.92 +/-     8.24, n=48, p=0.001461
           NPM1:          PAR-SN     7.06 +/-     4.40  -->      2.93 +/-     3.06, n=48, p=0.001490
           NPM1:          PMEPA1     1.17 +/-     1.14  -->      0.36 +/-     0.32, n=48, p=0.001521
           TP53:           IGSF5     0.00 +/-     0.01  -->      0.09 +/-     0.23, n=14, p=0.001529
           NPM1:           ITGA6    23.74 +/-    16.79  -->     10.30 +/-     7.57, n=48, p=0.001552
           NPM1:           AAGAB    11.56 +/-     2.93  -->     15.21 +/-     3.51, n=48, p=0.001584
           NPM1:          ADAM17    19.33 +/-     7.33  -->     27.92 +/-    11.92, n=48, p=0.001584
           NPM1:           GPSM2    18.23 +/-     8.52  -->     10.48 +/-     4.67, n=48, p=0.001584
           NPM1:           APBA1     1.25 +/-     2.30  -->      0.10 +/-     0.22, n=48, p=0.001594
           NPM1:          C9orf6     9.95 +/-     2.27  -->     12.39 +/-     2.71, n=48, p=0.001616
           NPM1:          IFITM1    84.92 +/-    83.09  -->     27.47 +/-    20.29, n=48, p=0.001682
           NPM1:           PTPRM     4.54 +/-     7.03  -->      0.58 +/-     1.26, n=48, p=0.001682
       FLT3-ITD:           LRRC6     1.82 +/-     0.99  -->      2.89 +/-     0.83, n=37, p=0.001773
           NPM1:            CCL1     0.63 +/-     1.77  -->      9.67 +/-    26.78, n=48, p=0.001896
  NPM1+FLT3-ITD:            PBX3    24.56 +/-    24.78  -->     75.21 +/-    26.33, n=19, p=0.001972
           NPM1:          ZNF608     4.57 +/-     4.19  -->      1.23 +/-     1.44, n=48, p=0.001976
           TP53:          TTTY13     0.00 +/-     0.01  -->      0.03 +/-     0.05, n=14, p=0.002048
           TP53:          FAM89A     5.28 +/-     5.56  -->     22.46 +/-    13.53, n=14, p=0.002061
           NPM1:            SMC4    39.72 +/-    18.82  -->     77.82 +/-    44.67, n=48, p=0.002098
    DNMT3A+NPM1:           HOXB7     1.27 +/-     3.80  -->      6.27 +/-     9.91, n=23, p=0.002133
           NPM1:         BCL2L14     0.51 +/-     2.18  -->      0.02 +/-     0.04, n=48, p=0.002166
           NPM1:          ZCCHC2     6.40 +/-     2.32  -->      8.96 +/-     2.73, n=48, p=0.002228
           NPM1:           LPAR6    12.88 +/-    18.25  -->      5.01 +/-     7.39, n=48, p=0.002273
           IDH2:           PRAME    11.87 +/-    24.88  -->      0.01 +/-     0.02, n=17, p=0.002280
  NPM1+FLT3-ITD:         CYSLTR2     3.19 +/-     4.05  -->     16.94 +/-    14.00, n=19, p=0.002342
  NPM1+FLT3-ITD:         PLA2G4A     8.65 +/-     5.23  -->     19.04 +/-     5.60, n=19, p=0.002410
           NPM1:             SHD     5.21 +/-    10.72  -->      1.10 +/-     3.15, n=48, p=0.002454
         MT-CYB:        KRTAP3-1     0.00 +/-     0.00  -->      0.02 +/-     0.04, n= 5, p=0.002473
         MT-CYB:            PER4     0.00 +/-     0.00  -->      0.01 +/-     0.03, n= 5, p=0.002473
         MT-CYB:         RBMY2EP     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 5, p=0.002473
         MT-CYB:        PRAMEF12     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
          RAD21:           OR5H1     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
          RAD21:          OR4C16     0.00 +/-     0.00  -->      0.03 +/-     0.05, n= 5, p=0.002473
          RAD21:           SPRR4     0.00 +/-     0.00  -->      0.02 +/-     0.03, n= 5, p=0.002473
          RAD21:       LOC340094     0.00 +/-     0.00  -->      0.00 +/-     0.01, n= 5, p=0.002473
          RAD21:          SPRR1B     0.00 +/-     0.00  -->      0.02 +/-     0.04, n= 5, p=0.002473
          RAD21:           PLUNC     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
          RAD21:           POTED     0.00 +/-     0.00  -->      0.02 +/-     0.03, n= 5, p=0.002473
          RAD21:       C10orf120     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
          RAD21:            SSX3     0.00 +/-     0.00  -->      0.00 +/-     0.01, n= 5, p=0.002473
          RAD21:          PCDHB1     0.00 +/-     0.00  -->      0.00 +/-     0.01, n= 5, p=0.002473
          RAD21:          OR4K14     0.00 +/-     0.00  -->      0.01 +/-     0.03, n= 5, p=0.002473
          RAD21:            NPVF     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 5, p=0.002473
          RAD21:           AGTR2     0.00 +/-     0.00  -->      0.00 +/-     0.00, n= 5, p=0.002473
          RAD21:        PRAMEF10     0.00 +/-     0.00  -->      0.00 +/-     0.01, n= 5, p=0.002473
          RAD21:           LUZP4     0.00 +/-     0.00  -->      0.00 +/-     0.01, n= 5, p=0.002473
           PHF6:         RBMY2FP     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
          STAG2:            ADH7     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 5, p=0.002473
          FAM5C:           OR4F4     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
          FAM5C:           KRT84     0.00 +/-     0.00  -->      0.00 +/-     0.01, n= 5, p=0.002473
    PTPN11+NPM1:         ZNF705D     0.00 +/-     0.00  -->      0.00 +/-     0.00, n= 5, p=0.002473
   WT1+FLT3-ITD:            ADH7     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 5, p=0.002473
   WT1+FLT3-ITD:           SMR3A     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 5, p=0.002473
